everyday,,,quantity,Future_pred
01-10-2022,,,8760,
02-10-2022,,,9720,
03-10-2022,,,11820,
04-10-2022,,,12720,
05-10-2022,,,11880,
06-10-2022,,,11520,
07-10-2022,,,8460,
08-10-2022,,,12120,
09-10-2022,,,12000,
10-10-2022,,,10800,
11-10-2022,,,8820,
12-10-2022,,,8700,
13-10-2022,,,9600,
14-10-2022,,,9180,
15-10-2022,,,10260,
16-10-2022,,,10560,
17-10-2022,,,10200,
18-10-2022,,,9480,
19-10-2022,,,10140,
20-10-2022,,,9480,
21-10-2022,,,10200,
22-10-2022,,,10620,
23-10-2022,,,12180,
24-10-2022,,,12480,
25-10-2022,,,13920,
26-10-2022,,,10320,
27-10-2022,,,12300,
28-10-2022,,,9900,
29-10-2022,,,9600,
30-10-2022,,,8760,
31-10-2022,,,10560,
01-11-2022,,,9420,
02-11-2022,,,10680,
03-11-2022,,,9060,
04-11-2022,,,10320,
05-11-2022,,,10140,
06-11-2022,,,11640,
07-11-2022,,,9540,
08-11-2022,,,11340,
09-11-2022,,,9240,
10-11-2022,,,10860,
11-11-2022,,,8400,
12-11-2022,,,10740,
13-11-2022,,,9540,
14-11-2022,,,11400,
15-11-2022,,,8880,
16-11-2022,,,10920,
17-11-2022,,,7920,
18-11-2022,,,10980,
19-11-2022,,,9840,
20-11-2022,,,9660,
21-11-2022,,,9840,
22-11-2022,,,9720,
23-11-2022,,,9480,
24-11-2022,,,9120,
25-11-2022,,,9120,
26-11-2022,,,11400,
27-11-2022,,,9360,
28-11-2022,,,11580,
29-11-2022,,,9960,
30-11-2022,,,11040,
01-12-2022,,,9660,
02-12-2022,,,11340,
03-12-2022,,,10620,
04-12-2022,,,11820,
05-12-2022,,,10800,
06-12-2022,,,11700,
07-12-2022,,,9420,
08-12-2022,,,9960,
09-12-2022,,,8220,
10-12-2022,,,10080,
11-12-2022,,,7860,
12-12-2022,,,7020,
13-12-2022,,,7320,
14-12-2022,,,8220,
15-12-2022,,,8220,
16-12-2022,,,9480,
17-12-2022,,,9960,
18-12-2022,,,10980,
19-12-2022,,,10140,
20-12-2022,,,10860,
21-12-2022,,,8760,
22-12-2022,,,12000,
23-12-2022,,,10320,
24-12-2022,,,9900,
25-12-2022,,,9720,
26-12-2022,,,10620,
27-12-2022,,,10140,
28-12-2022,,,10560,
29-12-2022,,,10140,
30-12-2022,,,11940,
31-12-2022,,,12420,
01-01-2023,,,11580,
02-01-2023,,,12420,
03-01-2023,,,11700,
04-01-2023,,,10560,
05-01-2023,,,11280,
06-01-2023,,,10560,
07-01-2023,,,11820,
08-01-2023,,,10200,
09-01-2023,,,11100,
10-01-2023,,,9300,
11-01-2023,,,9120,
12-01-2023,,,9180,
13-01-2023,,,11820,
14-01-2023,,,12060,
15-01-2023,,,13140,
16-01-2023,,,10560,
17-01-2023,,,10680,
18-01-2023,,,9240,
19-01-2023,,,10200,
20-01-2023,,,9600,
21-01-2023,,,11160,
22-01-2023,,,10380,
23-01-2023,,,11400,
24-01-2023,,,10080,
25-01-2023,,,11580,
26-01-2023,,,11040,
27-01-2023,,,10680,
28-01-2023,,,12060,
29-01-2023,,,12180,
30-01-2023,,,11880,
31-01-2023,,,13140,
01-02-2023,,,12240,
02-02-2023,,,11280,
03-02-2023,,,10740,
04-02-2023,,,15720,
05-02-2023,,,13500,
06-02-2023,,,15120,
07-02-2023,,,13680,
08-02-2023,,,13140,
09-02-2023,,,13380,
10-02-2023,,,13680,
11-02-2023,,,13560,
12-02-2023,,,14700,
13-02-2023,,,13920,
14-02-2023,,,14760,
15-02-2023,,,13020,
16-02-2023,,,14280,
17-02-2023,,,12720,
18-02-2023,,,16560,
19-02-2023,,,17400,
20-02-2023,,,15300,
21-02-2023,,,12720,
22-02-2023,,,12780,
23-02-2023,,,12240,
24-02-2023,,,13560,
25-02-2023,,,11940,
26-02-2023,,,14400,
27-02-2023,,,15660,
28-02-2023,,,13860,
01-03-2023,,,13980,
02-03-2023,,,13860,
03-03-2023,,,12960,
04-03-2023,,,14400,
05-03-2023,,,12900,
06-03-2023,,,15180,
07-03-2023,,,14400,
08-03-2023,,,12840,
09-03-2023,,,12360,
10-03-2023,,,12480,
11-03-2023,,,13260,
12-03-2023,,,14220,
13-03-2023,,,12540,
14-03-2023,,,14520,
15-03-2023,,,12780,
